Document,Topic,Pos dataset 10K (starting from 0)
"en publiant un livre sur les dérives de l’idéologie transgenre, les féministes dora moutot et marguerite stern témoignent combien défendre le simple constat de la biologie est aujourd’hui transgressif.",25,807
"si elle ne pleure pas des semaines durant après que vous ayez rompu, si elle ne réduit pas sa vie sociale, et ne s’enferme pas chez elle pendant des jours, c’est que vous ne signifiez rien à ses yeux. votre absence ne change rien à sa vie.",5,825
"c'est assez amusant d'apprendre les émois de , elle qui fut une des premières à la fi à utiliser avec son équipe le dénigrement, les insultes, les allusions douteuses sur les réseaux sociaux. domaine dans lequel elle surclasse largement pierre mendès-france.",124,954
"et oui les transgenristes hurlent à la transphobie, sauf qu’au contraire, les gens qui lisent notre livre comprennent grâce à lui que la dysphorie est un véritable problème de santé.",25,961
"je m’interroge : comme la classe dirigeante n’entend ni protéger ni nous laisser protéger nos enfants, si l’alternative n’est pas de bloquer le pays en utilisant un droit de retrait professionnel. nous subventionnons le système (ue) qui fait venir les tueurs de nos enfants.",11,1038
christine kelly dans le jdd : “la france de l’espérance”,118,1052
livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_5: réaffirmer la souveraineté nationale de chaque etat en matière d’interdiction de la gpa qui est une atteinte aux droits de l'enfant et une violence faite aux femmes.,61,1129
"« une terf, une balle » : marguerite stern et dora moutot (transmania) menacées de mort - par transmania les deux jeunes femmes peuvent compter sur le soutien de j. k. rowling, l'auteur de la saga harry potter.",25,1202
"la gpa et le commerce des gamètes constituent une exploitation reproductive des femmes, des hommes et des enfants, comme le démontre le livre blanc que nous sommes venus présenter à genève à l'occasion de la 53e session du comité des droits de l'homme. nous appelons l' à",61,1245
":studio_microphone:""personne ne s’est intéressé au fond du travail des femmes élues, on est en droit de faire le bilan des femmes en politique."" :books: la journaliste de cnews christine kelly publie ""femmes en politique : premier bilan"" - entretien avec :right_arrow_curving_down:",5,1267
"livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_4: stopper toutes les prétendues tentatives d’encadrement international de la gpa qui, en fait, seraient une reconnaissance détournée de la gpa : la :france: doit dénoncer les travaux de la conférence de la haye.",61,1290
jeudi volant sur 12/14h. série noire chez boeing aviation : michel polacco explique. france de plus en plus orange mécanique ? décrit.les nombreux tanguy pourront-ils célébrer la fête des mères? et le remède de daniel schiffer contre le woke: le rock!,91,1323
"communiqué &gt; a l’occasion de la 30e journée internationale des familles, lsf appelle au rétablissement du ministère de la famille disparu en 2017, à un plan dédié aux mères de famille et à un plan grands-parents. des mesures incontournables et urgentes.",11,1397
"de l'importance du père &gt; ""dans ces quartiers, les parents sont des mères. des mères seules. bien plus qu'ailleurs. (...) la part de familles monoparentales est de 24,1% dans les quartiers prioritaires de la ville contre 15,7% hors qpv.""",11,1426
":newspaper: ""sauver les couples, un enjeu de société. "" acteurs publics et privés se mobilisent pour la prévention des ruptures familiales dont on sait les effets néfastes sur les adultes et les enfants, et la société tout entière. vive l'amour durable !",11,1445
"durant de longues années, jean (décédé début juin) et lucette alingrin ont adopté et accueilli dans leur maison du maine-et-loire des enfants trisomiques délaissés. leur œuvre d’adoption se poursuit aujourd’hui. rencontre.",11,1457
"on a le droit de dire que les gonzesses racontent des trucs inintéressants seulement si on est de gauche, sinon c’est du sexisme.",25,1511
"à tous mes followers à gauche ou au centre du monde féministe qui viennent se plaindre et communiquer leur déception quant à mes interactions avec la droite, voici ce que j'ai à vous dire : ( pour me suivre sur instagram :",5,1546
pour rire un peu,124,1565
la gaypride ce n’est plus seulement l’arrogance gay c’est aussi l’arrogance trans. avec l’argent public des associations subventionnées,89,1615
"la théorie du genre et le wokisme gangrènent nos universités et les cerveaux des jeunes. a force de banaliser les changements de sexe et la ""non-binarité"", y compris dans des sujets d'examens universitaires, c'est toute une société qui sera construite sur le sable.",25,1623
"la pratique de la gpa est illégale, interdite en france. et le parlement européen parle majoritairement de traite d’êtres humains. les ministres macronistes qui veulent imposer la gpa sont hors la loi. ils devraient démissionner. leur méprisante et insultante réaction est la",61,1625
"cher gouvernement , cher . je vous invite à réfléchir à ce que signifie « être soi » dans le cadre du transgenrisme. dans le transgenrisme, ce qu’on fuit, c’est justement être soi, pour devenir ce quelqu’un d’autre, cet alter ego fantasmé, que l’on ne…",25,1630
"ces hommes réduisent violemment deux jeunes femmes au silence, mais ils sont de gauche, donc ça va. la ""justice sociale"" est un totem d'immunité.",5,1692
pourquoi est-ce qu’un homme devrait remplir le rôle traditionnel de payer l’addition si la femme ne remplit pas le rôle traditionnel de faire la cuisine et le ménage ?,5,1696
"si je dis que les hommes sont tendanciellement plus violents que les femmes, ça ne choque personne. mais si je dis par exemple que les femmes sont tendanciellement plus manipulatrices : « comment oses-tu dénigrer les femmes ! » :face_with_symbols_on_mouth::face_screaming_in_fear: serions-nous exemptes de tout défaut ?",5,1705
"""la gpa ne peut pas être encadrée pour une raison simple : on n’encadre pas l’inacceptable, on le combat."" déclaration complète du syndicat de la famille suite aux déclarations de .",61,1706
quelle belle tradition que celle de la fête des pères. n’en déplaise aux partisans du parent 1 ou 2 la paternité est irremplaçable.,11,1711
"""après l'appel à la responsabilité des parents dans le contexte des émeutes, ludovine de la rochère salue le retour d'un ministère pour les familles, confié à "" et esquisse l'urgent et vaste programme qui l'attend. remaniement",11,1732
"lors des manifestations du front populaire, il y avait des propos choquants envers les forces de l'ordre, envers les électeurs du rn, et des propos qui culpabilisent les gays qui pourraient voter le rassemblement national.",89,1739
"le transgenrisme est un danger :no_entry: avec , nous continuons à nous engager contre. demain, nous lançons une chaîne youtube pour diffuser des témoignages que vous n’entendrez jamais dans les médias mainstreams :collision: nous avons reçu certaines personnes dont les témoignages",25,1745
je suis devant pour regarder bistrot libertés mais plus encore pour soutenir et lâchement harcelées et prises à partie. beaucoup de choses me séparent de ces jeunes femmes auteurs mais il faut saluer le courage et la lucidité. merci !,5,1747
"dans la lignée de transmania :transgender_flag:( car on est du genre a pas lâcher l’affaire ), dans les jours qui viennent, et moi on va vous parler de notre nouveau projet ! on espère que ça va vous plaire et que ça fera du bruit ! :collision:",25,1779
"rarement vu autant de mépris dans une interview. cette femme se prend pourtant féministe mais pour elle, on hiérarchise la violence.",5,1790
"ludo : ""derrière les mots « aidants » et « proches », on trouve en réalité, dans l’immense majorité des cas, des pères, des mères, des enfants et des vieux parents. les « aidants » sont ainsi un nouveau mot pour parler de la famille.""",11,1837
pourquoi les femmes vivent plus longtemps :,5,1844
"« il n’y a pas de féminisme sans les femmes trans », dixit parlant de transmania. dites, madame malagré, avez-vous partagé cette brillante analyse avec des athlètes féminines qui perdent toutes leurs compétitions face à des femmes trans, c’est-à-dire des hommes…",25,1849
"elle n’est ni spéciale, ni unique. c’est votre affection pour elle qu’il l’a rendue ainsi à vos yeux, vos souvenirs, l’énergie que vous lui avez dédiée. quelle qualité avait-elle qu’aucune autre ne posséderait ? aucune. ne vous torturez pas à son égard. allez de l’avant.",5,1866
"y a un truc que je pige pas dans un entretien fleuve qu’il a accordé au magazine elle, macron veut créer un « devoir de visite père ». en gros, il veut obliger les pères à voir leurs enfants même après un divorce ou une séparation. « un enfant qui ne…",11,1899
"alors que le nouveau directeur de l'arcom doit prendre ses fonctions début juillet, des liens familiaux avec une association pro-migrants suscite des interrogations sur les potentielles décisions de l'autorité de régulation audiovisuelle",11,1940
"football : la ""lutte contre l'homophobie"" se complique ! - par sarah-louise guille football homophobie contrairement à la lutte contre le racisme, celle contre l’homophobie ne fait pas consensus dans le football...",89,1946
"le projet de l'ue est de dire : ""si vous êtes parents dans un pays, vous êtes parents dans tous les pays !"" le projet de certificat de parentalité date d’il y a un an... le but est de l’imposer à tous les pays qui refusent la gpa ou la pmasanspère.",61,1976
"non , la femme n'est pas une marionnette pas plus qu'elle n'est un objet de propagande.",5,1982
"les femmes asiatiques ont rattrapé (et désormais dépassé) l'homme blanc sur l'échelle des salaires (américaine, je suppose ?)",5,2014
"l'horreur de la gpa racontée par une de ses victimes. pour redire notre opposition ferme à cette pratique et empêcher l'europe de nous l'imposer, rendez-vous le 16 novembre à paris. :raised_fist:",61,2017
communiqué &gt; :european_union: la gpa a été définitivement reconnue comme une forme de traite humaine. c'est un 1er petit pas. mais les droits et la dignité des femmes et des enfants ne peuvent souffrir de la moindre ambiguïté. il faut aller plus loin : l'abolition !,61,2041
"donc une femme qui accouche ne serait plus qu'une ""personne ayant accouché"" et ne serait plus reconnue comme femme et comme mère ? régression de la société, invisibilisation des femmes et des mères, conséquences des délires de l'idéologie gender/trans.",5,2099
"si les hommes veulent s’amuser avec toi (et ne veulent pas s’engager), c’est que tu portes à cela, ou que tu ne vises pas ceux de ta catégorie. fâchez-vous comme vous voulez, ce n’est pas moi qui fixe les règles. :woman_shrugging_medium-light_skin_tone:",5,2140
"cette mère a reçu un appel de dieu à encourager les mamans sur les réseaux sociaux avec humour et profondeur. inspiré du compte, son livre vient de sortir.",11,2146
"il y a a un sujet qui est souvent négligé par les femmes, y compris au sein du féminisme : la misogynie de certains hommes homosexuels. des séries comme ""sex and the city"" ont fait croire à toute une génération de femmes que l'homme gay était toujours le meilleur allié des…",25,2181
"vous avez aimé notre livre transmania ? vous y avez découvert alexandra, une personne intersexe qui s'oppose à l'idéologie transgenre. elle inaugure notre nouvelle émission de témoignages ""contre discours sur les questions de genre"" sur la chaîne youtube de et…",25,2206
"l’offre de livres « queer-trans » est démentielle dans les librairies, comme le montre cette vidéo. mais par contre transmania qui offre une critique appronfondie de cette propagande est souvent introuvable…",25,2208
"philippe de villiers ne s'en prend pas à l'orientation sexuelle de gabriel attal. il s'en prend à l'inattaquable lobby lgbt. mais il est aujourd'hui tellement plus facile et jouissif d'interpréter une phrase plutôt que de la comprendre. montrez-leur la lune, ils regarderont le",89,2256
"regardez l'interview de alexandra, personne intersexe passionnante sur le youtube de notre nouvelle chaine",25,2300
":two_hearts: d'hier, d'aujourd'hui ou de demain, une maman restera toujours aussi merveilleuse que nécessaire. priver intentionnellement un enfant de sa maman est monstrueux. gpa",11,2323
"dans cette chronique, jeanne larghero investit les vertus cachées de l'attente dans la vie des parents. cette attente n'est pas une projection mais un abandon aux mains de la providence. les enfants ouvrent les portes du ciel par l'attente.",11,2340
"la triste réalité, c'est que les femmes d'aujourd'hui veulent des relations toxiques. elles aiment les hommes distants et froids. elles aiment les hommes qui ne font pas d'elles une priorité. elles aiment les hommes arrogants. la chevalerie, c'est fini.",5,2348
"les hommes vieillissent comme le bon vin, les femmes vieillissent comme le lait. les femmes ont beaucoup d'options jeunes, mais ces options diminuent avec le temps. :chart_decreasing: les hommes ont peu d'options jeunes, mais ces options augmentent avec le temps. :chart_increasing: je ne fais pas les règles.",5,2363
"je suggère à nos internationaux de football, donneurs de leçon politique, de suivre l’exemple de l’équipe du danemark et de faire cette fois un acte politique concret pour favoriser l’égalité homme-femme. mais, cela demanderait de faire un petit sacrifice. en sont-ils capables ?",89,2433
cette application a détruit toute une génération de femmes :,5,2477
femme moderne moyenne : - enchaîne les relations - se marie à 30 ans passé - a 1-2 enfants maximum - arrête de coucher avec son mari - prend du poids et se laisse aller. pas étonnant que les hommes se désintéressent du mariage de nos jours.,5,2480
les femmes sont programmées biologiquement à désirer des hommes qui leur sont supérieurs. et c’est une bonne chose.,5,2489
"« il est très important qu’il y ait cette rencontre entre hommes et femmes, parce qu’aujourd’hui, le pire danger est l’idéologie du gender qui annule les différences », a déclaré le pape françois.",5,2497
"le ""certificat européen de parentalité"" vise à faire reconnaître par tous les etats membres de l’ue la pmasanspère et la gpa : dès lors qu’ils sont reconnus dans un pays, ils devront l’être dans tous les autres. non à l'ingérence de l':european_union: en matière familiale et sociétale !",61,2507
"famille chrétienne lance son quatrième coaching en ligne, à destination des parents qui veulent donner une solide confiance en soi à leurs enfants, tout en évitant le piège de l'égocentrisme.",11,2513
"non , le féminisme, c'est pour défendre les droits des femmes = des femelles adultes humaines. une femme n’est ni un homme castré, ni un homme qui aime les jupes, ni un homme mal dans sa peau qui déteste la masculinité et son corps, ni un homme qui est excité à…",5,2536
bonne fêtedesmères à toutes les mamans de france !,91,2544
"si elle se permet de vous manquer gravement de respect, c’est qu’elle ne vous voit pas comme sa meilleure option. elle pense qu’elle peut se permettre de vous perdre. si elle dépasse les bornes : faites-lui regretter son comportement en partant sans vous retourner. :waving_hand_light_skin_tone:",5,2645
j’ai ri :face_with_tears_of_joy: il arrive parfois aux transgenristes d’être assez golri,124,2648
"les transgenristes disent qu’être une femme est un genre et un sentiment. selon cette logique, il faudrait aussi rebaptiser le sexisme « genrisme », et l’homosexualité « homogenréité ».",25,2672
les concours de beauté sont une cible de choix de l’idéologie woke. voici pourquoi,5,2677
le premier habitat partagé pour parents isolés,11,2702
"""dans ces temps de tromperies universelles dire la vérité devient un acte révolutionnaire."" (extrait de 1984 d'orwell, publié en 1949) visionnaire sur le monde d'aujourd'hui : oser dire une vérité universelle -un homme est un :male_sign:, une femme est une :female_sign:- devient héroïque.",5,2735
protection de l’enfance : nouvelle inquiétude sur les crèches,11,2801
"ludo : ""chers parlementaires, osez, bougez, agissez, écrivez enfin la véritable histoire d’un féminisme réel et concret, écrivez l’histoire d’une défense ardente des plus vulnérables, les enfants !"" gpa",5,2802
fête des mères aujourd'hui. n'oubliez pas ;) je nous connais les mecs. on oublie tout en dehors de la date de la finale de la coupe du monde tous les 4 ans.,91,2809
"en 1996, je prouvais à jack lang qu’importer le modèle américain de ""discrimination positive"" nous mènerait vers la tyrannie des minorités (sexuelles, ethniques, corporatistes…). la politique des quotas, sous-entendant que les femmes ne seraient pas capables par leur propre",5,2812
"un homme a davantage à offrir à une femme dans sa trentaine, une femme a davantage à offrir à un homme dans sa vingtaine.",5,2886
"faites-vous partie de ces hommes qui rêvent des femmes d’europe de l’est ? ces femmes qui seraient belles, traditionnelles, non-féministes et qui voudraient fonder des famille. :family_man_woman_girl_boy: opportunité de rêve ou piège pour naïfs ? mon avis en vidéo :right_arrow_curving_down:",5,2924
les ruptures détruisent les femmes. les ruptures construisent les hommes. maintenant vous comprenez pourquoi le passé affectif n’a pas la même importance chez les unes que chez les autres.,5,2945
in memoriam. comment te dire adieu. le premier 45 tour que j’ai offert à celle qui sera mon épouse. « tous les garçons et les filles de mon âge ».,91,2955
"« des femmes qui m’ont touchée? rachida dati, carole delga, marion maréchal.. » femmesenpolitique",5,2977
"réduire le congé parental de 3 ans à 6 mois, alors que les crèches sont en grande difficulté pour recruter… voilà l'idée brillante d' qui affectera la vie des familles, les finances publiques, la natalité, etc. il a tout faux.",11,2979
"découvrir « clair de femme », de romain gary",118,2995
"avis définitif : la gpa, c'est un outil du capitalisme de la gestation : c’est l’exploitation des corps des femmes, la marchandisation de la reproduction, le renforcement des inégalités, le contrôle des corps de femmes marginalisées ou esclaves et donc la perpétuation des",61,3049
"transmania, un homme addict au porno sissy qui a transitionné en ""femme"" explique: ""quand l'hypnose sissy prend le pas sur ta vie, que tu prends des hormones féminines depuis 6 mois et que tu te sens de moins en moins ton ancien toi et de plus en plus n'être rien de plus qu'une…",25,3076
le pic d’attractivité des femmes est à 20 ans le pic d’attractivité des hommes est à 30 ans.,5,3084
"l’historien yves chiron publie ""les dix conclaves qui ont marqué l’histoire"" (perrin). où l’on voit que l’histoire de l’eglise n’est pas un long fleuve tranquille… entretien.",118,3109
":raised_fist: mobilisation le jeudi 16 novembre à 19h à paris contre le projet de ""certificat européen de parentalité"" qui est une tentative déguisée pour contraindre les états membres à reconnaître les gpa pratiquées à l’étranger.",61,3120
"la théologienne marion muller-colard publie la vie funambule. portrait d’une femme de lettres inclassable, rencontrée dans la maison d’édition qu’elle dirige, à genève.",118,3125
"peut-être que justement les hommes ne veulent pas de femmes « cools, fortes et indépendantes ». un homme veut rassurer, protéger et se sentir utile. soit tout ce que ne permettent pas les femmes modernes.",5,3134
"elles ne l'exprimeront probablement jamais, car cela leur échappe souvent, mais les femmes tendent à rechercher un homme qui les cadre et les canalise. soyez cet homme-là, et elle vous respectera et vous chérira toute votre vie.",5,3210
"ils ne comprennent décidément rien aux préoccupations des familles ! en proposant un congé parental raccourci, sans ouverture de nouveaux modes de garde, ils privent les parents de la liberté de choisir et les bébés de la présence plus longue de leurs parents à leurs côtés.",11,3221
merci à vous ! hâte que les choses bougent en france et que les femmes ne puissent plus se faire menacer de mort et insulter à tout va car elles défendent la réalité biologique.,5,3226
louiz est tout simplement un homme aux goûts très féminins qui se sent si mal à l’aise dans les stéréotypes masculins que la société a tendance à imposer qu’il préfère dire qu’il est une femme pour obtenir acceptation et validation. il n’est pas une femme et ne le sera jamais…,5,3281
c’est fou cette tendance des femmes modernes à toujours tout ramener à soi et vouloir systématiquement être le centre d’attention de tous les sujets… même quand ça n'a aucun rapport.,5,3328
attention : les féministes accréditées ne vont pas s'emparer de cette information.,5,3349
"c'est le ""totalitarisme d'atmosphère"" selon foot homophobie",89,3351
la bague et la cérémonie de mariage comptent davantage aux yeux des femmes modernes que l’homme qu’elles épousent.,5,3501
"elle ne répond pas à tes messages ? va en dm une autre. elle n’est ni spéciale ni unique. ne gaspille pas inutilement de l’énergie. ton temps est précieux. si elle ne l’a pas compris, elle ne le mérite pas.",5,3519
"si une femme vous crée des embrouilles et des disputes sans raison, c’est parce qu’elle s’ennuie avec vous et cherche à se distraire. ses ex petits-amis toxiques lui manquent.",5,3547
les trans maniaques en roue libre.,25,3609
"les femmes sont indécises par nature, c’est pourquoi ce sont les hommes qui doivent commander.",5,3631
ceux qui ne la connaissent pas devraient lire l’histoire de la vie de geneviève de galard …. une autre époque qui semble si lointaine .,118,3716
"défendre, c'est aussi proposer : une vision globale et des mesures inédites pour les parents, les enfants, l'éducation, le quotidien, la solidarité intergénérationnelle, la prévention des difficultés familiales... soutenez ces mesures : syndiquez-vous !",11,3721
":camera_with_flash: valérie enjambe ces piles de livres depuis 40 ans. ""impossible d'y mettre de l'ordre"", se résigne t-elle en feuilletant sa dernière acquisition, une édition originale des fables de la fontaine. la librairie chanut fut d'abord celle de ses parents. à l'époque, valérie",118,3731
"et masochiste avec ça. alors oui, on peut donner des leçons de féminisme à ce gouvernement, et pas seulement parce qu’il rabaisse sa candidate. surtout parce qu’il est incapable d’assurer le premier des droits des femmes : être en sécurité dans l’espace public.",5,3809
laissez les enfants tranquilles !,11,3822
"[temoignage] exclusif : une femme dans l’enfer calédonien - par nouvellecalédonie ""les insurgés continuent d’agir exactement comme avant le passage de monsieur macron : barrages filtrants, feux..,""",118,3842
une maladie évolutive et incurable a changé le rapport aux autres de cette mère de cinq enfants.,11,3894
"« ma belle-mère m’exaspère, et mon mari ne comprend pas… il ne m’apporte donc pas le soutien que j’attends de lui. parfois même, il prend le parti de sa mère contre moi ! » les conseils d'une thérapeute de couples et de familles.",11,3897
"josiane a le pouvoir de me faire rire, ce qui n'est pas évident sur ce réseau social.",124,3901
"ludo sur objectif gard : ""la pmasanspère légalisée en 2021 est une injustice pour les enfants. le rôle du législateur devrait être de défendre les droits des enfants...""",11,3910
":georgia: en géorgie, le parti au pouvoir a présenté une loi nommée « contre la propagande lgbt auprès des mineurs et pour la protection des valeurs familiales » : contre le mariage et l'adoption :rainbow_flag:, contre le changement de sexe, pour l'introduction d'un jour de la « sainteté de la",89,3912
"plus elle est masculine, plus elle recherche un homme qui soit plus viril et dominant qu’elle. les femmes cherchent toutes celui qui réussira à leur tenir tête.",5,3919
"contrôle de qualité, service après-vente, remplacement de produit défectueux : derrière les images glamour, la gpa c’est l’horreur de la marchandisation des enfants et le commerce des ventres des femmes. un progrès, vraiment ?? gpa",61,3961
"transmania : sujet interdit. par la voix d'énora malagré, le service public (nos impôts) s'aligne à son tour sur le transactivisme de censure, et en appelle à l'arcom... francetv n'admet pas qu'on dise qu'une femme est une femme, et que peut-être les bloqueurs de puberté ne sont",25,3962
":police_car_light: brigitte macron brings forward of the hearing in her case against natacha rey ( via ) brigitte macron’s and her brother jean-michel trogneux’s libel trial against natacha rey, the woman who claims that the first lady is a man, was due to take place in…",118,4016
quand on ose dire qu’être une femme est une réalité biologique en 2024 et que c’est peut-être pas une bonne idée de castrer chimiquement des mômes :,5,4079
je suis partagé entre un rire nerveux et un profond soupir.,124,4148
je souhaite que l'on mette fin à l'excuse de minorité et que l'on généralise les centres éducatifs fermés pour mineurs délinquants. il faut aussi responsabiliser les parents des mineurs récidivistes en suspendant les allocations familiales.,11,4157
"nous portons plainte, car il est grand temps, que l'appel à brûler ou à tuer les femmes qui pensent qu'être une femme est une réalité biologique et non pas un ressenti soit enfin puni en france!",5,4172
"ludovine de la rochère : ""sur cette photo, la maman qui vient d'accoucher a disparu, elle est effacée, invisibilisée. ces tout petits bébés ont été arrachés à leur mère dès la naissance ; quand c'est volontaire, cela me révolte."" gpa",11,4228
"quand les gens me disent « faut porter plainte » à chacun de mes tweets, bah je suis d’accord, mais seulement si y’a un commissariat qui veut bien me donner un lit et un oreiller, car vu que je dois déposer plainte tous les matins vu les dingueries des transgenristes, autant…",25,4260
"pour rappel, la france insoumise est en faveur de l’inclusion d’athlètes hommes, qui se déclarent femmes, dans les compétitions sportives féminines. get a brain.",89,4277
"vous ne devriez jamais l'inviter au restaurant tant que vous n'êtes pas sûr que son intérêt pour vous est réel. si vous n'avez pas concrétisé, tenez-vous en au café.",5,4279
"les féministes, si elles étaient cohérentes et honnêtes, devraient être vent debout, dénoncer la dernière entourloupe du patriarcat qui pratique le womanface - surjouant les clichés sexistes -, et se rend coupable d’appropriation biologique : un prix réservé aux femmes leur a…",5,4324
[l'actu juridique‍:balance_scale:] une loi pour soutenir et protéger les familles d’enfants en situation de handicap. trisomie21 loi actujuridique,11,4396
"livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_3: obtenir une condamnation unanime de toutes les formes de gestation pour autrui. rémunérée ou gratuite, l'exploitation d'une femme est toujours scandaleuse.",61,4440
la gestation pour autrui est formellement reconnue par le parlement européen comme une forme d'exploitation reproductive ! :clapping_hands: areyouoneofus surrogacy humantrafficking,61,4449
"ce n’est pas une déesse, ni une reine, ni une princesse. c’est un être humain comme toi, avec ses complexes. il y en a des millions comme elle. alors arrête d’être intimidé par les femmes et de les mettre sur un piédestal.",5,4452
"le 25 novembre, ce sera la journée internationale de lutte contre les violences faites aux femmes. quelle pire violence que celle de la gpa qui considère la femme comme un simple outil de reproduction que l’on peut louer, peu importent les conséquences physiques et psychiques ?",5,4482
"ce soir, conférence à assas. sous protection policière. oui, on en est là en france, en 2024. pour dire ce qu'on dit, pour rappeler qu'être une femme est une réalité biologique et non pas le ressenti d'un homme, ainsi que pour dénoncer les dérives de l'idéologie transgenre, on a…",25,4483
